Date,Real_kWh,Rel_kWh,Real_Air_kWh,Rel_Air_kWh,Avg_Light,Avg_Tp,Avg_Humidity,Wind_Direction,Wind_Speed,Avg_Comfort,Season,Week,Is_Holiday,Is_Work,Target_Kwh,Split
2014/9/10 00:12,159.4638336,38,41.24016647,10.21875,0,27.6689064,77.25504303,279.9621582,0.189833343,32.92537003,Fall,Wednesday,FALSE,off work,40,TRUE
2014/9/10 00:27,163.9006226,40,53.52120361,12.6171875,0,27.2888382,77.68578491,305.4716797,0.338722229,32.41485672,Fall,Wednesday,FALSE,off work,46,
2014/9/10 03:33,166.71539,40,47.6299263,11.625,0,26.89187927,80.45605621,292.7170715,0.234500006,32.04499016,Fall,Wednesday,FALSE,off work,38,TRUE
2014/9/10 03:48,163.2026581,38,43.82720032,10.875,0,26.67228546,80.31247406,278.6185303,0.487611115,31.71833038,Fall,Wednesday,FALSE,off work,38,
2014/9/10 07:06,210.3017487,50,85.63916779,20.40625,0.089959435,27.71113586,78.93578491,349.7873535,0.156333342,33.1114502,Fall,Wednesday,FALSE,off work,50,TRUE
2014/9/10 07:21,202.8797943,50,69.07412491,17.4375,0.143935096,27.98140564,77.11990662,281.9738464,0.167500004,33.35909805,Fall,Wednesday,FALSE,off work,54,
2014/9/10 07:36,218.4724518,54,72.04761581,19.65625,0.215902641,28.40370178,75.34625854,8.056396484,0.10050001,33.81943665,Fall,Wednesday,FALSE,off work,82.5,
2014/9/10 07:51,315.3494019,82.5,157.2265991,41.46875,0.2698641,29.84506989,71.70098419,1.342687607,0.424333334,35.53779984,Fall,Wednesday,FALSE,off work,86,
2014/9/10 08:06,349.0873413,86,179.1361023,45.46875,0.269799334,30.53271561,68.41016388,344.3149414,0.301499993,36.20010147,Fall,Wednesday,FALSE,work,94,
2014/9/10 15:39,431.1351196,108,178.6085358,45.625,0.134939149,28.25167618,87.58443298,157.7719421,0.022333335,34.56585312,Fall,Wednesday,FALSE,work,104,TRUE
